epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1812,1.86103,4.11786,2.28528,0.00934,0.52778,0.06866,0.02503,1.58085,4.77103,2.29912,0.0811,0.0021,0.0021
2,54.282,1.64862,3.8744,1.98341,0.00789,0.61111,0.08562,0.03002,1.45013,4.97049,1.95234,0.0612149,0.00421486,0.00421486
3,80.477,1.54785,3.86714,1.93983,0.01176,0.80556,0.13369,0.06941,1.21222,4.56791,1.80543,0.0412426,0.0062426,0.0062426
4,106.034,1.53882,3.7469,1.87951,0.01028,0.80556,0.32734,0.11384,1.50096,4.53878,1.83813,0.0211832,0.00818322,0.00818322
5,130.77,1.61429,3.80341,1.97991,0.00571,0.91667,0.21838,0.0902,1.58268,4.68679,2.01609,0.009208,0.009208,0.009208
6,158.018,1.41558,3.71409,1.78649,0.84128,0.08333,0.3078,0.15536,1.58293,4.33337,1.94989,0.00901,0.00901,0.00901
7,184.933,1.49245,3.63711,1.83047,0.00496,0.80556,0.06238,0.03473,1.59733,4.7846,2.21828,0.008812,0.008812,0.008812
8,210.406,1.44603,3.55205,1.78997,0.81568,0.08333,0.119,0.04973,1.67467,4.39436,2.06662,0.008614,0.008614,0.008614
9,238.315,1.48792,3.53603,1.83657,0.18108,0.35458,0.20729,0.13623,1.47282,5.31208,1.8635,0.008416,0.008416,0.008416
10,267.308,1.69004,3.71399,1.91605,0.35539,0.50409,0.35892,0.15409,1.4216,5.17557,2.05366,0.008218,0.008218,0.008218
11,298.084,1.56481,3.50979,1.89106,0.49346,0.36111,0.20623,0.09804,1.72056,4.71612,2.3171,0.00802,0.00802,0.00802
12,327.682,1.5798,3.47274,1.92635,0.1637,0.44444,0.171,0.05764,1.9037,9.66776,2.83543,0.007822,0.007822,0.007822
13,357.718,1.50038,3.28358,1.82137,0.46366,0.44444,0.44784,0.2152,2.1449,4.13272,2.52084,0.007624,0.007624,0.007624
14,388.825,1.55886,3.35812,1.85473,0.31947,0.63516,0.36517,0.19703,1.95075,4.43154,2.26945,0.007426,0.007426,0.007426
15,417.016,1.56153,3.32149,1.86203,0.58151,0.19444,0.27703,0.11344,2.22625,6.31074,2.83036,0.007228,0.007228,0.007228
16,445.59,1.57951,3.29706,1.87241,0.52423,0.44444,0.46299,0.2102,1.69878,4.28153,2.17415,0.00703,0.00703,0.00703
17,477.564,1.56934,3.20318,1.88911,0.17826,0.44444,0.25328,0.12266,1.79074,4.63275,2.27129,0.006832,0.006832,0.006832
18,505.613,1.65046,3.10311,1.86357,0.15406,0.47021,0.23452,0.0927,1.47687,4.42767,1.88778,0.006634,0.006634,0.006634
19,534.254,1.57488,3.13298,1.88156,0.1406,0.44444,0.20839,0.09032,1.39704,4.8893,1.87805,0.006436,0.006436,0.006436
20,561.196,1.45298,3.04012,1.75296,0.19466,0.72222,0.27404,0.10882,1.7788,4.63147,2.2413,0.006238,0.006238,0.006238
21,588.173,1.49726,2.9801,1.7884,0.4736,0.26091,0.21537,0.05065,1.73265,5.2533,2.34347,0.00604,0.00604,0.00604
22,616.028,1.49556,3.0351,1.78774,0.22948,0.36111,0.26216,0.12568,1.74579,4.96227,2.3194,0.005842,0.005842,0.005842
23,644.898,1.43397,2.90213,1.75443,0.22336,0.33333,0.29378,0.14639,1.59253,4.11671,1.97364,0.005644,0.005644,0.005644
24,672.505,1.46036,3.04029,1.75258,0.26765,0.22692,0.21768,0.12286,1.81011,4.34696,2.13945,0.005446,0.005446,0.005446
25,699.505,1.41174,2.88133,1.74706,0.97544,0.29415,0.45486,0.27376,1.41091,3.31536,1.62559,0.005248,0.005248,0.005248
26,728.632,1.45483,2.90162,1.76328,0.35162,0.61111,0.47055,0.26248,1.33939,3.5815,1.52369,0.00505,0.00505,0.00505
27,759.81,1.49031,2.87712,1.79305,0.51182,0.49305,0.39828,0.23892,1.43792,4.1755,1.82677,0.004852,0.004852,0.004852
28,787.507,1.43311,2.90119,1.6983,0.32448,0.44444,0.48836,0.33614,1.18187,4.03039,1.59815,0.004654,0.004654,0.004654
