epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8105,1.42644,2.43673,1.55633,0.32252,0.50025,0.34347,0.18432,1.44236,3.33909,1.70592,0.0670817,0.000332508,0.000332508
2,142.238,1.37648,1.90403,1.50389,0.53603,0.63923,0.61081,0.34842,1.38007,1.71451,1.50306,0.0340751,0.00065925,0.00065925
3,209.821,1.35382,1.76738,1.49385,0.57263,0.52536,0.56249,0.32597,1.44118,1.82146,1.58801,0.0010619,0.000979391,0.000979391
4,277.312,1.29041,1.63658,1.45569,0.60506,0.61074,0.67072,0.41216,1.23212,2.18513,1.43215,0.0009703,0.0009703,0.0009703
5,344.668,1.24625,1.49653,1.40933,0.76545,0.73014,0.82324,0.54451,1.13714,1.14039,1.31717,0.0009604,0.0009604,0.0009604
6,412.907,1.2102,1.38432,1.37362,0.70075,0.64894,0.72039,0.45268,1.25903,1.42841,1.43563,0.0009505,0.0009505,0.0009505
7,482.173,1.18303,1.3446,1.35832,0.72203,0.7546,0.80528,0.55578,1.07944,1.13545,1.26499,0.0009406,0.0009406,0.0009406
8,552.13,1.14295,1.28342,1.32985,0.7693,0.78418,0.81707,0.58993,0.9963,1.04096,1.22919,0.0009307,0.0009307,0.0009307
9,625.552,1.12995,1.21181,1.31285,0.88826,0.78303,0.87328,0.6329,1.02024,0.89815,1.19504,0.0009208,0.0009208,0.0009208
10,694.585,1.11358,1.16534,1.30252,0.85029,0.77044,0.87068,0.61837,1.03236,0.8978,1.2201,0.0009109,0.0009109,0.0009109
11,764.04,1.10474,1.15754,1.30535,0.8254,0.85064,0.88198,0.62331,1.00311,0.9253,1.21759,0.000901,0.000901,0.000901
12,834.419,1.07334,1.11005,1.2871,0.87474,0.83331,0.89536,0.65008,0.97708,0.8308,1.19222,0.0008911,0.0008911,0.0008911
13,904.652,1.06814,1.08581,1.28032,0.85767,0.84052,0.89323,0.65893,0.93666,0.77225,1.15814,0.0008812,0.0008812,0.0008812
14,976.385,1.04802,1.04423,1.25985,0.89632,0.87735,0.91422,0.66098,0.98176,0.73735,1.18073,0.0008713,0.0008713,0.0008713
15,1052.38,1.03896,1.02583,1.25865,0.90146,0.85527,0.91528,0.68091,0.94686,0.78805,1.17509,0.0008614,0.0008614,0.0008614
16,1122.78,1.02406,0.99738,1.24236,0.86216,0.88871,0.91307,0.67381,0.95679,0.74568,1.16577,0.0008515,0.0008515,0.0008515
17,1191.36,1.01259,0.97943,1.23422,0.86632,0.84361,0.90201,0.68018,0.92158,0.69561,1.14907,0.0008416,0.0008416,0.0008416
